"","Gasto público en educación, total (% del gasto del gobierno)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)","Proporción alumnos-maestro, nivel primario","Inscripción escolar, nivel primario (% neto)","Inscripción escolar, nivel secundario (% neto)","Maestros capacitados en educación de nivel primario (% del total de maestros)","pc1_educacion","pc2_educacion"
"NAC",12.3635042190552,98.7362716674805,14.73938,94.771124,92.052444,97.9688430786133,170.362018863721,-80.258855466998
"NAM",24.9672023773193,92.25,25.09173,97.41517,49.442632,93.9214370727539,-3.91689403871395,-136.008616752516
"NER",13.4018762588501,38.0999984741211,36.25819,62.257586,17.28458,78.8023891448975,102.827024875339,-49.1242902955846
"NPL",12.2407754262288,71.1500015258789,23.09923,97.22852,58.25372,97.2528991699218,-7.3770318553548,-109.154313267843
"OED",11.6552077293396,97.0783958435059,15.86232,95.830904,88.781718,92.8525329589844,170.002079347844,-75.6533197784984
"OMN",11.0801801681519,96.4952926635742,10.12768,92.499068,94.803595,100,38.9788855059419,-96.5104471500568
"OSS",14.3105813980103,85.5477355957031,23.97824,84.929644,53.375366,80.8639572143555,144.057969006815,-63.6376482703055
"PAK",10.3603734016419,58.0471598307292,45.871556,64.921098,35.8070525,77.9562606811523,-25.8095372007839,-99.3078525433027
"PAN",9.80340270996093,95.5739440917969,21.926986,93.05661,68.2425425,95.2309875488281,167.232678270017,-58.0855050341606
"PHL",18.7357749938965,98.1825485229492,29.9222175,95.36339,66.35664,100,-18.9374545878747,-118.873668290758
"POL",11.5315382003784,99.8000030517578,10.22951,96.00958,92.528816,99.7399993896484,173.166231301383,-77.5441505283792
"PRE",15.0903903961182,64.2888961791992,35.469214,76.64759,33.725576,73.1864303588867,-1.18033721998381,-103.897215974419
"PRI",21.2439384460449,92.3950004577636,13.56774,83.28011,79.209908,93.7564798990885,159.539951792109,-74.1671973298372
"PRT",10.0433826446533,96.7799987792969,12.925084,97.793986,93.498998,100,-11.6511389239765,-180.386257253243
"PRY",24.5218200683594,94.1072788238526,24.15974,89.02356,61.762332,92.0764389038086,166.879016846326,-60.838249675339
"PSE",16.8512353897095,96.9435165405273,24.15804,94.140696,85.111382,100,-29.4768269934071,-120.072416427683
"QAT",8.83881664276123,97.3010431925456,11.681244,92.338188,89.03637,100,168.182921686832,-76.5628247915306
"RUS",9.47320194244385,99.9277725219727,20.33158,95.60764,91.8146766666667,98.7900955200195,37.890081776596,-104.855681922602
"RWA",12.1235860824585,74.5577964782715,58.483338,98.84059,30.70399,85.4138698577881,155.733817643044,-57.1568828897456
"SAS",11.027269077301,72.858627319336,33.511754,87.689114,59.158616,78.4810150146485,-11.6386293412354,-128.730272843187
"SEN",21.289351272583,57.6699981689453,33.038876,73.937608,37.66861,74.4342308044434,126.629563529494,-53.1462946534216
"SGP",14.025347328186,97.2416137695313,15.0593,99.69504,99.658205,98.2601058959961,-41.6938820386447,-126.624269596072
"SLE",31.0582839965821,48.6399993896484,34.5107275,96.0448525,37.5357333333333,65.1926355361938,135.150732087704,-49.5825879393613
"SLV",14.2845371246338,88.9511047363281,28.2802575,83.942246,63.533732,95.5571079254151,21.4662070650089,-112.421495086327
"SRB",9.25646018981934,99.1620178222656,14.80951,95.60053,92.724594,94.2174301147461,168.010282105558,-80.0036629853029
"SSA",15.3587853431701,67.3862747192383,37.98595,73.075828,34.95175,71.2339416503906,-13.3474602046795,-102.642225620263
"SSD",6.77617874145508,34.5227584838867,46.75029,43.387,5.281215,44.027099609375,75.6856299722367,-36.0302229974153
"SSF",15.3587853431701,67.3898132324219,37.544878,73.077196,34.954626,71.2356140136719,0.685840981594628,-86.4072720741323
"SST",14.3097434997559,86.7863204956055,22.85168,85.5946425,57.72602,83.0283203125,148.125730450694,-64.9854588428249
"STP",17.5010883331299,93.75,33.237328,89.4858025,57.1392,31.414705657959,20.8322013561015,-60.8875630357239
"SUR",16.07541847229,95,13.27853,87.11368,54.021518,99.0851631164551,153.13112627237,-67.4880434139936
"SWZ",16.7160499572754,89.2799987792969,28.09674,84.13945,40.18308,79.4935913085938,-8.42007476016873,-125.339628931701
"SYC",11.8271760940552,96.1999969482422,13.907956,93.47519,78.624064,84.9765319824219,166.012661130912,-54.5180545383012
"TCD",14.5669865608215,27.2800006866455,58.45819,76.7807033333333,18.648225,63.9256992340088,32.6982995222935,-76.7285969940206
"TEC",11.2818478584289,99.2801559448242,16.868988,93.179152,88.84162,94.5439865112305,170.441297722339,-76.9332095705814
"TGO",21.7690906524658,65.1413497924805,41.40286,90.76051,41.01339,76.6903209686279,-7.27543403370654,-115.398877035353
